Institution_Name,Institution_Address,Institution_City,Institution_State
Jean Madeline Aveda Institute,315A Bainbridge Street,Philadelphia,PA
Stillwater School of Cosmetology,132 South Main,Stillwater,OK
Pacific College of Oriental Medicine - New York,915 Broadway 3rd Fl,New York,NY
Baker College Center for Graduate Studies,1116 W Bristol Rd,Flint,MI
Pennsylvania Highlands Community College,101 Community College Way,Johnstown,PA
Phillips Theological Seminary,901 N Mingo Rd,Tulsa,OK
Industrial Management & Training Institute,233 Mill Street,Waterbury,CT
Careers Unlimited Beauty School,10058 Long Point,Houston,TX
Cortiva Institute-Colorado,390 Interlocken Crescent,Broomfield,CO
Faris Technical Institute,1119 Kent Avenue,Nederland,TX
Four-D College - Colton,1020 East Washington Street,Colton,CA
Allen School - Jamaica,163-18 Jamaica Avenue,Jamaica,NY
Premiere Career College,12901 Ramona Blvd,Irwindale,CA
Tennessee Academy of Cosmetology,"7041 Highway 64, Suite 101",Memphis,TN
Carousel Beauty College & The Spa Institute,3120 Woodman Drive,Kettering,OH
Physicians Medical Center Carraway,1600 Carraway Blvd.,Birmingham,AL
Estes Institute of Cosmetology Arts and Science,324 E Main St,Visalia,CA
Baldwin Park Adult and Community Education,4640 N. Maine Ave,Baldwin Park,CA
Silicon Valley College - Fremont,41350 Christy St,Fremont,CA
Ventura Adult and Continuing Education,5200 Valentine Rd,Ventura,CA
Marinello School of Beauty - Sacramento,5522 Garfield Ave,Sacramento,CA
Windham Technical High School,210 Birch Street,Willimantic,CT
A. I. Prince Technical High School,401 Flatbush Avenue,Hartford,CT
College of Business and Technology,"8700 W. Flagler Avenue, Suite 420",Miami,FL
City College - Altamonte Springs,177 Montgomery Road,Altamonte Springs,FL
University Health Care Systen,1350 Walton Way,Augusta,GA
Cobb Beauty College Inc,3096 Cherokee Street,Kennesaw,GA
Beck School of Practical Nursing,6137 Beck Road,Red Bud,IL
King's Daughters' Hospital and Health Services,1373 East State Road 62,Madison,IN
American Academy of Hair Design,901 SW 37th St,Topeka,KS
Crave Beauty Academy,3804 West Douglas,Wichita,KS
Camelot College,2618 Wooddale Blvd Ste A,Baton Rouge,LA
Gretna Career College,1415 Whitney Ave,Gretna,LA
"Mr. Bernard's School of Hair Fashion, Inc.",711 Lisbon Street,Lewiston,ME
Kirksville Area Technical Center,1103 S Cottage Grove,Kirksville,MO
South Central Career Center,407 West Thornburgh,West Plains,MO
Saline County Career Center,900 W Vest,Marshall,MO
Central College of Cosmetology,"690 Missouri Blvd,  Suite #3",Saint Robert,MO
Southeast Missouri Hospital College of Nursing,2001 William Street,Cape Girardeau,MO
Messenger College,400 S. Industrial Boulevard,Euless,TX
Tennessee Academy of Cosmetology - Memphis,7053 Winchester Road,Memphis,TN
Cheveux School of Hair Design,"4781 Gum Branch Road, #1",Jacksonville,NC
Durham Beauty Academy,4600 Durham Chapel Hill Boulevard,Durham,NC
Somerset County Technology Institute,North Bridge St and Vogt Dr,Bridgewater,NJ
Union County Vocational Technical School,1776 Raritan Rd,Scotch Plains,NJ
Prism Career Institute,8040 Roosevelt Boulevard,Philadelphia,PA
Champlain Valley Educational Services (CEWW BOCES),"1585 Military Turnpike, P.O. Box 455",Plattsburgh,NY
Jefferson-Lewis-Hamilton-Herkimer-Oneida BOCES,20104 State Rte 3,Watertown,NY
Nassau Vocational Educational and Extension Board,899-A Jerusalem Ave,Uniondale,NY
Syracuse Central Technical Vocation Center,573 East Genesee Street,Syracuse,NY
Steuben-Allegany BOCES,One Vocational Dr Coopers Education Center,Painted Post,NY
Cattaraugus-Allegany-Erie-Wyoming BOCES Olean Center,1825 Windfall Road,Olean,NY
Wayne-Finger Lakes BOCES,121 Drumlin Court,Newark,NY
Broome-Delaware-Tioga BOCES Binghamton Education Center,435 Glenwood Road,Binghamton,NY
Washington-Saratoga-Warren-Hamilton-Essex BOCES,Henning Road,Saratoga Springs,NY
Ulster BOCES,"319 Broadway, Route 9w, PO Box 01",Port Ewen,NY
St. Lawrence-Lewis BOCES,139 State Street,Canton,NY
Rockland BOCES Practical Nursing Program,65 Parrott Road,West Nyack,NY
New York College of Health Professions,6801 Jericho Turnpike,Syosset,NY
Career Institute of Health andTechnology,75 Rushmore Street,Westbury,NY
Charles Stuart School,1420 Kings Hwy 2nd Fl,Brooklyn,NY
Penta County Joint Vocational School,9301 Buck Road,Perrysburg,OH
Career and Technology Education Centers of Licking County,150 Price Rd,Newark,OH
Willoughby-Eastlake Technical Center,25 Public Sq,Willoughby,OH
Washington County Career Center-Adult Technical Training,21740 St. Rt. 676,Marietta,OH
Ohio Technical Center at Vantage Career Center,818 North Franklin St,Van Wert,OH
Tri County Technology Center,6101 SE Nowata Road,Bartlesville,OK
Indian Capital Technology Center - Muskogee,2403 N 41st St E,Muskogee,OK
Western Technology Center - Burns Flat,"621 Sooner Drive, PO Box 1469",Burns Flat,OK
Mid-America Technology Center,"27438 State Hwy 59, PO Box H",Wayne,OK
Northeast Technology Center - Pryor,"6195 W Hwy 20, PO Box 825",Pryor,OK
Eastern Oklahoma County Technology Center,4601 N Choctaw Rd,Choctaw,OK
Wes Watkins Technology Center,7892 Highway 9,Wetumka,OK
Technical institute of Cosmetology Arts & Sciences,822 East 6th Street,Tulsa,OK
York County Technical School,2179 S Queen St,York,PA
"Chester County Intermediate Unit, Center for Arts and Technology - Brandywine Campus",1635 E Lincoln Hwy,Coatesville,PA
Jefferson County Dubois Area Vocational Technical Practical Nursing Program,576 Vo-Tech Road,Reynoldsville,PA
Mifflin-Juniata Career and Technology Center,700 Pitt St,Lewistown,PA
Hanover Public School District Practical Nursing Program,403 Moul Ave,Hanover,PA
Lenape Area Vocational Technical School Practical Nursing Program,83 Glade Drive,Kittanning,PA
Venango County Area Vocational Technical School,1 Vo-Tech Dr,Oil City,PA
Lancaster County Career and Technology Center,1730 Hans Herr Drive,Willow Street,PA
Lebanon County Area Vocational Technical School,833 Metro Dr,Lebanon,PA
Northern Tier Career Center,RR 1 Box 157A,Towanda,PA
Clarion County Career Center Practical Nursing Program,447 Career Road,Shippenville,PA
Hazleton Area Career Center,1451 W 23rd Street,Hazleton,PA
All State Career School,"1200 Lebanon Road, Suite 101",West Mifflin,PA
Serbia's School of Beauty Culture,Calle Vicente Pales #23 Oeste,Guayama,PR
Academia Maison D'Esthetique,Ave. Ponce deLeon #904,Santurce,PR
Colegio Tecnologico y Comercial de Puerto Rico,Calle Paz 165 Altos,Aguada,PR
Quality Technical and Beauty College,"Bo. Pueblo Carr. 167, Esq. Calle Parque Local #10",Bayamon,PR
D'Mart Institute,Carr 156 Km 17.1 Bo Honduras Ste 215 Centro Comerc IAL,Barranquitas,PR
Automeca Technical College,Parque Industrial La Montana  Lot #14,Aguadilla,PR
Puerto Rico Barber College,Avenida General Valero #300 Altos,Fajardo,PR
Fortis Institute - Cookeville,1025 Highway 111,Cookeville,TN
North Central Institute,168 Jack Miller Blvd,Clarksville,TN
Velma B's Beauty Academy,1511 S Ewing Ave.,Dallas,TX
Stephenville Beauty College,951 S Lillian St,Stephenville,TX
Pipo Academy of Hair Design,3000 Pershing Dr,El Paso,TX
Tint School of Make-Up & Cosmetology - Dallas,10909 Webb Chapel Road Suite 129,Dallas,TX
ACT College - Arlington,"1400 Key Boulevard, Suite 100",Arlington,VA
United Technical Center,Rt 3 Box 43C,Clarksburg,WV
McCann Technical School,70 Hodges Cross Rd,North Adams,MA
Empire Beauty School - Boston,867 Boylston Street,Boston,MA
Ailano School of Cosmetology,541 West St,Brockton,MA
Carsten Institute of Cosmetology,3345 S Rural Rd,Tempe,AZ
Central California School of Continuing Education,San Luis Obispo Campus 3195 McMillan #F,San Luis Obispo,CA
"Rivertown School of Beauty, Barber, Skin Care, and Nails","4747 Hamilton Road, Suite E",Columbus,GA
Atlanta Institute of Music,2875 Breckinridge Boulevard,Duluth,GA
Illinois Media School,"455 Eisenhower Ln., S., Ste. 200",Lombard,IL
Tucker Career and Technology,107 S Pennsylvania Ave,Marion,IN
St. Louis Hair Academy,3701 Kossuth,Saint Louis,MO
New Dimensions School of Hair Design,621 Kentucky Ave.,Joplin,MO
Adirondack Beauty School,108 Dix Ave,Glens Falls,NY
Forbes Road Career and Technology Center,607 Beatty Road,Monroeville,PA
JNA Institute of Culinary Arts,1212 S Broad St,Philadelphia,PA
Instituto Irma Valentin - Manati,52 Calle Mc Kinley,Manati,PR
A1 Business and Technical College,"Dr Rufo Street, Suite 14",Caguas,PR
Cortiva Institute - Seattle,"425 Pontius Ave. North, Suite 100",Seattle,WA
Putnam Career and Technical Center,300 Rooselvelt Blvd.,Eleanor,WV
Mountaineer Beauty College,700 6th Ave,Saint Albans,WV
World College,"Lake Shores Plaza, 5193 Shore Drive, Suite 105",Virginia Beach,VA
Crawford County Area Vocational Technical School Practical Nursing Program,860 Thurston Rd,Meadville,PA
Beauty Schools of America,1060 West 49th Street,Hialeah,FL
Newbridge College-Monterey Park,583 S Monterey Pass Rd,Monterey Park,CA
Royal Beauty Careers,5020 Fm 1960 W A-12,Houston,TX
"Francois D. College of Hair, Skin & Nails",8932 South State Street,Sandy,UT
Southwest College of Naturopathic Medicine & Health Sciences,2140 E Broadway Rd,Tempe,AZ
Escuela de Peritos Electricitas de Isabela,1059 Calle Surinam Pr 112 Norte,Isabela,PR
Virginia College - Birmingham,488 Palisades Boulevard,Birmingham,AL
Yeshiva D'Monsey Rabbinical College,2 Roman Blvd,Monsey,NY
The College of Saints John Fisher and Thomas More,3020 Lubbock,Fort Worth,TX
New Charter University,"50 W. Broadway, Suite 300",Salt Lake City,UT
Northwest Vista College,3535 North West Ellison Dr,San Antonio,TX
Oconee Fall Line Technical College,1189 Deepstep Road,Sandersville,GA
York County Community College,112 College Drive,Wells,ME
Northeast Technology Center - Afton,"19901 S Hwy 69, PO Box 219",Afton,OK
Western Suffolk BOCES,152 Laurel Hill Road,Northport,NY
Gutenberg College,1883 University Street,Eugene,OR
Arkansas State University Mountain Home,1600 South College Street,Mountain Home,AR
Columbia Gorge Community College,400 E Scenic Dr,The Dalles,OR
Foundation College,"404 Camino Del Rio South, Suite 100",San Diego,CA
Colleen O'Hara's Beauty Academy,109 W 4th St,Santa Ana,CA
Bakke Graduate University,"8515 Greenville Ave., S206",Dallas,TX
Tillamook Bay Community College,2510 First St,Tillamook,OR
Empire Beauty School - Baltimore,5633 Reisterstown Road,Baltimore,MD
Manhattan School of Computer Technology,"931 Coney Island Avenue, 2nd Floor",Brooklyn,NY
Indian Capital Technology Center - Sallisaw,Hc 61 Box 12,Sallisaw,OK
Indian Capital Technology Center - Stilwell,"Rt. 6 - Box 3320, Hwy 59 & Maryetta Rd",Stilwell,OK
Globelle Technical Institute,Marginal 114 Monte Carlo,Vega Baja,PR
Motif Beauty Academy,23 W Lexington Ave,Winchester,KY
Hairitage Hair Academy,"1487 South Silicon Way, Suite A3",Saint George,UT
New York Paralegal School,115 West 45th Street,New York,NY
Houghton Lake Institute of Cosmetology LLC,5921 W Houghton Lake Dr,Houghton Lake,MI
Arizona College,"4425 W Olive Avenue, Suite 300",Glendale,AZ
Vanguard-Sentinel Career & Technology Center,"1220 Cedar Street, Suite B",Fremont,OH
House of Heavilin Beauty College - Raymore,800 West Foxwood Drive,Raymore,MO
International Institute of Hair Design,273 West 500 South,Bountiful,UT
Living Arts College@School of Communication Arts,3000 Wakefield Crossing Drive,Raleigh,NC
The New York Conservatory for Dramatic Arts,39 West 19th Street,New York,NY
Eastern International College,684 Newark Ave.,Jersey City,NJ
Academia Serrant Inc,Concordia 8180 Esq Aurora,Ponce,PR
Sonoma College,1304 South Point Blvd. Suite 280,Petaluma,CA
Advocate Illinois Masonic Medical Center,938 W. Nelson Avenue,Chicago,IL
Court Reporting Institute,"8665 Gibbs Drive, Suite 204",San Diego,CA
inlingua English Center,"1901 N Moore St., Suite LL-01",Arlington,VA
Greater West Town Training Partnership,500 N. Sacramento Blvd.,Chicago,IL
Pacific College,3160 Red Hill Ave,Costa Mesa,CA
United Truck & Car Driving School,2425 Camino Del Rio South,San Diego,CA
American College of Healthcare,"11801 Pierce Street, Suite 100",Riverside,CA
Compu-Med Vocational Careers Corp,2900 W 12th Ave 3rd Fl,Hialeah,FL
Sage Technical Services - Billings,5236 Holiday Ave.,Billings,MT
Airman's Proficiency Center,3565 NE Cornell Road,Hillsboro,OR
Professional Electric School,3 Ramos Velez St,Manati,PR
Mid-Cities Barber College,"2345 SW 3rd St, Suite 101",Grand Prairie,TX
National Defense University,Bldg 62 - Marshall Hall,Fort McNair,DC
Allied American University,"22952 Alcalde Drive, Suite 150",Laguna Hills,CA
El Monte - Rosemead Adult School,10807 Ramona Boulevard,El Monte,CA
Kaplan College - Panorama City,14355 Roscoe Blvd,Panorama City,CA
Gwinnett College - Sandy Springs,6690 Rosewell Road NE,Sandy Springs,GA
Beacon University,6003 Veterans Parkway,Columbus,GA
Pyramid Career Institute,3057 N Lincoln Ave,Chicago,IL
Lafayette General Medical Center,P.O. Box 52009,Lafayette,LA
Merkaz Bnos High School & Career Institute,2115 Benson Avenue,Brooklyn,NY
Lia Schorr Institute of Cosmetic Skin Care,"57 West 57 Street, Suite 1409",New York,NY
Aviation Institute of Maintenance - Chesapeake,2211 South Military Highway,Chesapeake,VA
Technical Education Center-Osceola,501 Simpson Rd,Kissimmee,FL
Miami Ad School,588 NW 29th Street,Miami,FL
Green Country Technology Center,"1100 N Loop 56, PO Box 1217",Okmulgee,OK
Askins Vo-Tech,7716 Hwy 271 S,Fort Smith,AR
Nova College de Puerto Rico,137 Dr. Veve St.,Bayamon,PR
Styles and Profiles Beauty College,119 S Second St,Selmer,TN
Southwest Health Career Institute Inc,5981 Jefferson NE Suite A & B,Albuquerque,NM
Santa Barbara College of Oriental Medicine,"1919 State Street,  Suite 207",Santa Barbara,CA
John Wesley International Barber and Beauty College,717 Pine Ave,Long Beach,CA
Southeastern College,2081 Vista Pwy.,West Palm Beach,FL
Defense Language Institute,Presidio of Monterey,Monterey,CA
The Illinois Institute of Art-Schaumburg,1000 Plaza Drive,Schaumburg,IL
Klamath Community College,7390 South Sixth Street,Klamath Falls,OR
The Art Institute of Phoenix,2233 W Dunlap Ave,Phoenix,AZ
Academia Vocational Del Turabo,Campio Alonso 41,Caguas,PR
Aerosim Flight Academy - Sanford,2700 Flight Line Ave,Sanford,FL
American College of Acupuncture and Oriental Medicine,9100 Park West Drive,Houston,TX
AOMA Graduate School of Integrative Medicine,2700 W Anderson Ln Ste 204,Austin,TX
Arlington Medical Institute,"1001 N.E. Green Oaks Boulevard, Suite 190",Arlington,TX
Urban College of Boston,178 Tremont St,Boston,MA
American College of Medical Technology,555 W Redondo Blvd Ste 100,Gardena,CA
Virginia School of Massage,153 Zan Road,Charlottesville,VA
Cayce/Reilly School of Massage,215 67th Street,Virginia Beach,VA
The Creative Center,10850 Emmet St,Omaha,NE
Studio Jewelers,32 E 31 St,New York,NY
Praxis Institute,1850 SW 8th St 4th Fl,Miami,FL
American College of Traditional Chinese Medicine,455 Arkansas St,San Francisco,CA
Atlantic County Vocational Technical School,5080 Atlantic Avenue,Mays Landing,NJ
San Juan Bautista School of Medicine,P.O. Box 4968 Urb. Turabo Gardens,Caguas,PR
Texas Health and Science University,"4005 Manchaca Road, Suite 200",Austin,TX
Technical Institute of Camden County,343 Berlin-Cross Keys Road,Sicklerville,NJ
Carver Career Center,4799 Midland Dr,Charleston,WV
New Hampshire Institute of Art,148 Concord Street,Manchester,NH
Cayuga Onondaga BOCES-Practical Nursing Program,5980 South Street Rd,Auburn,NY
Clearfield County Career and Technology Center,1620 River Road,Clearfield,PA
"Colegio Cinematografia, Artes y Television",Dr. Veve #51 Esq. Degetau,Bayamon,PR
CONWAY SCHOOL OF PRACTICAL NURSING,335 FOUR MILE RD,CONWAY,SC
Delaware County Technical School,Delmar Dr  and Henderson Blvd,Folcroft,PA
Everest College - Torrance,1231 Cabrillo Ave Ste 201,Torrance,CA
The Institute for Health Education,"600 Pavonia Avenue, First Floor",Jersey City,NJ
Mid-Del Technology Center,1621 Maple Dr,Midwest,OK
BIR Training Center,3601 W Devon Ste 210,Chicago,IL
The Youngstown College of Massotherapy,14 Highland Ave,Struthers,OH
New York Institute of Massage,4701 Transit Rd,Williamsville,NY
Jolie Hair and Beauty Academy,44 Sewall Street,Ludlow,MA
Dutchess BOCES-School of Practical Nursing,5 BOCES Road,Poughkeepsie,NY
Institute of Technology,564  W Herndon,Clovis,CA
Garnet Career Center,422 Dickinson St,Charleston,WV
Brooklyn Institute of Business Technology,9 Bond St. 3rd Fl,Brooklyn,NY
Genesee Valley BOCES Batavia Campus,Adult Education Office  8250 State St Rd,Batavia,NY
Henrico County-Saint Marys Hospital,201 E Nine Mile Rd,Highland Springs,VA
Herkimer-Fulton-Hamilton-Otsego BOCES,295 W Main St,Ilion,NY
International Beauty College 3,1225 Beltline Rd Ste 7,Garland,TX
Dewey University - Hato Rey Campus,427 Barbosa Ave. Third Floor,Hato Rey,PR
Cape Coral Technical College,360 Santa Barbara Boulevard North,Cape Coral,FL
Dolphin Technical Institute,4835 Concord,Beaumont,TX
Massachusetts General Hospital,35 Fruit Street - Warren 1201,Boston,MA
American Beauty Academy - Wheaton,11600 Veirs Mill Road,Wheaton,MD
Navy Medicine Education and Training Command,8901 Wisconsin Avenue,Bethesda,MD
New Directions Hair Academy,3744 Old Hickory Blvd Ste A2,Nashville,TN
